Work Title,Name Translations,Name Aliases,Authorities,Composer,Opus/Catalogue Number,I-Catalogue Number,Key,Movements/Sections,Year/Date of Composition,First Publication,Copyright Information,Dedication,Average Duration,Composer Time Period,Piece Style,url
Piano Concerto No.2,"Концерт для фортепиано с оркестром № 2
;
Concerto pour piano nº 2 de Chopin
;
Concerto for Piano and Orchestra no. 2 in F minor, op. 21
;
เปียโนคอนแชร์โตหมายเลข 2
;
Concerto para piano n.º 2
;
Concert per a piano núm. 2
;
2. Klavierkonzert
;
피아노 협주곡 2번
;
2. zongoraverseny (Chopin)
;
II koncert fortepianowy Chopina
;
Концерт № 2 для фортепіано з оркестром
;
Pianokonsertto nro 2
;
Klaverkoncert nr. 2
;
ピアノ協奏曲第2番
;
Concierto para piano n.º 2
;
קונצ'רטו לפסנתר מס' 2 של שופן
;
Pianoconcert nr. 2
;
Concerto số 2 cho piano (Chopin)
;
Concerto per pianoforte n. 2 op. 21
;
Pianokonĉerto n-ro 2 (Chopin)
;
第2号钢琴协奏曲
;
Κοντσέρτο για πιάνο αρ. 2 σε Φα ελάσσονα, έργο 21","Klavierkonzert Nr. 2
;
Klavierkonzert f-Moll
;
Klavierkonzert in f-Moll
;
Klavierkonzert op. 21
;
Piano Concerto No. 2
;
Piano Concerto, Op. 21
;
Piano Concerto in F minor
;
Pianoconcert nr. 2 (Chopin)","WorldCat
;
Wikipedia
;
VIAF
:
1406151474935700490005
;
LCCN
:
no96012418
;
GND
:
4493513-4","Chopin, Frédéric",Op.21,IFC 122,F minor,"3 movements:
Maestoso (F minor)
Larghetto (A
♭
major)
Allegro vivace (F minor)",1829-30,"1836 - Leipzig:
Breitkopf & Härtel
, and Paris:
Maurice Schlesinger",,Delphine Potocka née Komar,30 minutes,Romantic,Romantic,"https://imslp.org/wiki/Piano_Concerto_No.2,_Op.21_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Sonata No.1,"Sonate pour piano nº 1
;
Piano Sonata No. 1 in C minor, Op. 4
;
I Sonata fortepianowa (Chopin)
;
Соната для фортепіано № 1 (Шопен)
;
Klaviersonate Nr. 1 (Chopin)
;
ピアノソナタ第1番 (ショパン)
;
Sonata para piano n.º 1 (Chopin)
;
Sonata per pianoforte n. 1 op. 4
;
Sonata per a piano núm. 1
;
Соната для фортепиано № 1
;
Σονάτα για πιάνο No. 1","Sonata para piano nº1 (Chopin)
;
Sonata para piano n º 1 (Chopin)
;
Sonata para piano n 1 (Chopin)
;
Sonata para piano n. 1 (Chopin)","WorldCat
;
Wikipedia
;
VIAF
:
173970256
;
LCCN
:
no00025339
;
BNF
:
14801792r
;
NLA
:
35427352","Chopin, Frédéric",Op.4,IFC 75,C minor,"4 movements:
Allegro maestoso (C minor)
Minuetto. Allegretto (E
♭
major) - Trio (E
♭
minor)
Larghetto (A
♭
major)
Finale. Presto (C minor)",1828,1851,,Józef Elsner,,Romantic,Romantic,"https://imslp.org/wiki/Piano_Sonata_No.1,_Op.4_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Piano Sonata No.2,"Klaviersonate Nr. 2
;
Piano Sonata No. 2 in B-flat minor, Op. 35
;
Sonata para piano n.º 2
;
Pianorako sonata 2. zbk
;
Sonate pour piano nº 2 de Chopin
;
Sonata per pianoforte n. 2 op. 35
;
ピアノソナタ第2番
;
II Sonata fortepianowa
;
Sonata n.º 2
;
Соната № 2
;
Соната для фортепіано № 2
;
Sonata per a piano núm. 2
;
سونات ۲ پیانو
;
Pianosonaatti nro 2
;
Σονάτα για πιάνο No. 2
;
第二号钢琴奏鸣曲 (肖邦)
;
피아노 소나타 2번","The Funeral March [3rd movement]
;
De Dodenmars","WorldCat
;
Wikipedia
;
VIAF
:
190418447
;
LCCN
:
n81024626
;
GND
:
300037864
;
SELIBR
:
272402
;
BNF
:
14801280c
;
NLA
:
35427355","Chopin, Frédéric",Op.35,IFC 76,B-flat minor,"4 movements:
Grave - Doppio movimento (B
♭
minor)
Scherzo (E
♭
minor) - Più lento (G
♭
major)
Marche funèbre (B
♭
minor)
Finale. Presto (B
♭
minor)","1837 (3rd mvt), 1839 (the rest)",1840,,,,Romantic,Romantic,"https://imslp.org/wiki/Piano_Sonata_No.2,_Op.35_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Sonata No.3,"Sonate pour piano nº 3
;
Piano Sonata No. 3 in B minor, Op. 58
;
III Sonata fortepianowa (Chopin)
;
Соната для фортепіано № 3 (Шопен)
;
Klaviersonate Nr. 3 (Chopin)
;
ピアノソナタ第3番 (ショパン)
;
Sonata para piano n.º 3 (Chopin)
;
Sonata per pianoforte n. 3 op. 58
;
Соната для фортепиано № 3
;
Sonata per a piano núm. 3
;
Pianoarentzako 3. Sonata
;
Σονάτα για πιάνο No. 3
;
第3鋼琴奏鳴曲
;
第3钢琴奏鸣曲
;
피아노 소나타 3번","Sonate no 3 de Chopin
;
Sonate pour piano n° 3 de Chopin
;
Sonata para piano nº3 (Chopin)
;
Sonata para piano n º 3 (Chopin)
;
Sonata para piano n 3 (Chopin)
;
Sonata para piano n. 3 (Chopin)
;
Sonata fortepianowa h-moll
;
第三号钢琴奏鸣曲（b小调，Op. 58）
;
B小调第三号钢琴奏鸣曲
;
第3号钢琴奏鸣曲
;
第3號鋼琴奏鳴曲","WorldCat
;
Wikipedia
;
VIAF
:
188262821
;
LCCN
:
no97075485
;
GND
:
300037880
;
BNF
:
148012795","Chopin, Frédéric",Op.58,IFC 77,B minor,"4 movements:
Allegro maestoso (B minor)
Scherzo
. Molto vivace (E
♭
major) –
Trio
(B major)
Largo (B major)
Finale
. Presto non tanto (B minor)","1844
First Perf
ormance
.
1866 January, Warsaw","1845 - Leipzig:
Breitkopf und Härtel",,Countess Elise de Perthuis,,Romantic,Romantic,"https://imslp.org/wiki/Piano_Sonata_No.3,_Op.58_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Piano Trio,"ピアノ三重奏曲
;
Trio fortepianowe
;
Trio per pianoforte, violino e violoncello op. 8
;
Trio per a piano
;
Trío para piano","Trio for Violin, Cello and Piano in G minor, op. 8
;
Trío para violín, violonchelo y piano en sol menor, Op. 8","WorldCat
;
Wikipedia
;
LCCN
:
no97076991","Chopin, Frédéric",Op.8,IFC 78,G minor,"4 movements:
Allegro con fuoco (G minor)
Scherzo. Vivace (G major) - Trio (C major)
Adagio. Sostenuto (E
♭
major)
Finale. Allegretto (G minor)",1829,"1833 - London:
Wessel & Co.",,Antoni Henryk Radziwill,,Romantic,Romantic,"https://imslp.org/wiki/Piano_Trio,_Op.8_(Chopin,_Fr%C3%A9d%C3%A9ric)"
17 Polish Songs,"Pieśni, Op. posth. 74
;
Pieśni op. 74
;
Cançons poloneses
;
17 Canti Polacchi Op. 74
;
Польські пісні
;
17のポーランドの歌","Polish Songs, Op. 74
;
19 Songs, Op. 74
;
17 Songs, Op. 74
;
Op. 74
;
Pieśni",Wikipedia,"Chopin, Frédéric",Op.74,IFC 79,,"17 songs:
Życzenie.
Allegro ma non troppo (G major)
Instytut Fryderyka Chopina
;
All Music Guide
(1829)
Wiosna.
Andantino (G minor)
Instytut Fryderyka Chopina
;
All Music Guide
(1838)
Smutna rzeka.
Allegretto (F-sharp minor)
Instytut Fryderyka Chopina
;
All Music Guide
(1831)
Hulanka.
Vivace (C major)
Instytut Fryderyka Chopina
;
All Music Guide
(1830)
Gdzie lubi.
Allegro (A major)
Instytut Fryderyka Chopina
;
All Music Guide
(1829)
Precz z moich oczu.
Larghetto (F minor)
Instytut Fryderyka Chopina
;
All Music Guide
(1830)
Poseł.
Andantino (D major)
Instytut Fryderyka Chopina
;
All Music Guide
(1830)
Śliczny Chłopiec.
Allegro moderato (D major)
Instytut Fryderyka Chopina
;
All Music Guide
(1841)
Melodia.
Andante (E minor)
Instytut Fryderyka Chopina
;
All Music Guide
(1847)
Wojak.
Vivace (A-flat major)
Instytut Fryderyka Chopina
;
All Music Guide
(1830)
Dwojaki koniec.
Allegretto (D minor)
Instytut Fryderyka Chopina
;
All Music Guide
(1845)
Moja pieszczotka.
Allegretto (G-flat major)
Instytut Fryderyka Chopina
;
All Music Guide
(1837)
Nie ma czego trzeba.
Lento (A minor)
Instytut Fryderyka Chopina
;
All Music Guide
(1845)
Pierścień.
Moderato (E-flat major)
Instytut Fryderyka Chopina
;
All Music Guide
(1836)
Narzeczony.
Prestissimo (C minor)
Instytut Fryderyka Chopina
;
All Music Guide
(1831)
Piosenka litewska.
Allegro moderato (F major)
Instytut Fryderyka Chopina
;
All Music Guide
(1831)
Śpiew z mogiłky.
Moderato (E-flat minor)
Instytut Fryderyka Chopina
;
All Music Guide
(1836)",1829-1847,"1853 (No.6), 1857 (Nos.1 & 10), 1859
Librettist
Nos.1-5, 7, 10, 14-15:
Stefan Witwicki
(1801-1847)
Nos.6, 12:
Adam Mickiewicz
(1798-1855)
Nos.8, 11, 13:
Józef Bohdan Zaleski
(1802-1886)
No.9:
Zygmunt Krasiński
(1812-1859)
No.16:
Ludwik Osiński
(1775-1838)
No.17:
Wincenty Pol
(1807-1872)
Language
Polish",,,,Romantic,Romantic,"https://imslp.org/wiki/Polish_Songs,_Op.74_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Polonaise in A-flat Major,"ポロネーズ第13番
;
Полонез ля-бемоль мажор
;
Polacca in la bemolle maggiore",,"WorldCat
;
LCCN
:
no2010127953","Chopin, Frédéric",B.5 ; KK IVa: No. 2,IFC 80,A-flat major,Animato,1821,1901,,"Wojciech Żywny
(1756–1842)",,Romantic,Romantic,"https://imslp.org/wiki/Polonaise_in_A-flat_major,_B.5_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Polonaise in A-flat major,"Polonesa, Op. 53
;
英雄ポロネーズ
;
Polonez op. 53
;
Polonaise, opus 53
;
Polonaise in A-flat major ""Heroic"", Op. 53
;
Polonesa Op. 53
;
Polonaise op. 53
;
Полонез ля-бемоль мажор
;
Polonaise As-Dur
;
Polonéza As-dur, op. 53
;
Polacca op. 53
;
Polonesa en la bemoll major
;
降A大調波蘭舞曲
;
Polonaise Op. 53
;
Полонез ля-бемоль мажор, «Героїчний»
;
Πολωνέζα σε Λα ύφεση μείζονα, έργο 53
;
폴로네즈 Op.53
;
پولونز در لا بمل ماژور","ポロネーズ 作品53
;
Polonesa Op 53 Heroica
;
Polonaise Heroique
;
Polonesa Op 53
;
Polonesa Op. 53 Heroica
;
Polonesa heroica
;
Polonaise Heroïque
;
Polonaise héroïque
;
Ηρωική πολωνέζα
;
Ηρωική","WorldCat
;
Wikipedia
;
VIAF
:
179019389
;
LCCN
:
n78080149
;
GND
:
300037643","Chopin, Frédéric",Op.53,IFC 81,A-flat major,Maestoso,1842,,,"August Leo
(1793–1859)",,Romantic,Romantic,"https://imslp.org/wiki/Polonaise_in_A-flat_major,_Op.53_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Polonaise in B-flat major,"ポロネーズ第12番
;
Polacca in si bemolle maggiore",,"WorldCat
;
LCCN
:
no2011014907","Chopin, Frédéric",B.3,IFC 82,B-flat major,Vivo,1817-18,1910,,,,Romantic,Romantic,"https://imslp.org/wiki/Polonaise_in_B-flat_major,_B.3_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Polonaise in B-flat minor,"ポロネーズ第15番
;
Полонез си-бемоль минор
;
Polacca in si bemolle minore",,"WorldCat
;
LCCN
:
no2010127955","Chopin, Frédéric",B.13 ; KK IVa: No.5,IFC 83,B-flat minor,Polonaise,1826,1879,,Wilhelm Kolberg,,Romantic,Romantic,"https://imslp.org/wiki/Polonaise_in_B-flat_minor,_B.13_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Polonaise in F-sharp minor,"Polonaise fis-Moll
;
ポロネーズ第5番
;
Polonez op. 44
;
Polonaise
;
Polacca
;
Polonesa en fa sostingut menor
;
Πολωνέζα σε Φα δίεση ελάσσονα, Op. 44
;
폴로네즈 Op. 44","Polonaise in F-sharp minor, Op. 44
;
Polonaise, opus 44
;
Polacca op. 44","WorldCat
;
Wikipedia
;
VIAF
:
175199458
;
LCCN
:
no97077007
;
GND
:
300037635","Chopin, Frédéric",Op.44,IFC 84,F-sharp minor,Polonaise,1841,,,Fürstin Carl von Beauvau,,Romantic,Romantic,"https://imslp.org/wiki/Polonaise_in_F-sharp_minor,_Op.44_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Polonaise in G minor,"ポロネーズ第11番
;
Polacca in sol minore",,"WorldCat
;
VIAF
:
185034419
;
LCCN
:
nr2006028078","Chopin, Frédéric",B.1,IFC 85,G minor,Allegro ma non troppo,1817,,,,,Romantic,Romantic,"https://imslp.org/wiki/Polonaise_in_G_minor,_B.1_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Polonaise in G-flat Major (P1-8),"ポロネーズ第16番
;
Полонез соль-бемоль мажор
;
Polacca in sol bemolle maggiore",,"WorldCat
;
LCCN
:
no2003021526","Chopin, Frédéric",B.36 ; P1-8,IFC 86,G-flat major,,1829 ca.,,,,,Romantic,Romantic,"https://imslp.org/wiki/Polonaise_in_G-flat_major,_B.36_(Chopin,_Fr%C3%A9d%C3%A9ric)"
"Polonaise in G-sharp minor, Op. posth.","ポロネーズ第14番
;
Polacca in sol diesis minore",,"WorldCat
;
LCCN
:
no2003018495","Chopin, Frédéric",B.6 ; Op.P.1 No.3,IFC 87,G-sharp minor,Moderato,1824,1850-1860,,,,Romantic,Romantic,"https://imslp.org/wiki/Polonaise_in_G-sharp_minor,_B.6_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Polonaise-Fantaisie,"幻想ポロネーズ
;
Polonez-Fantazja op. 61
;
Polonesa-fantasía
;
Polacca-Fantasia op. 61
;
Polonesa-Fantasia
;
Πολωνέζα-Φαντασία
;
환상 폴로네즈","ポロネーズ 作品61
;
Polonesa fantasía
;
Polonaise Fantaisie
;
Polonesa fantasia
;
Polonesa-fantasia","WorldCat
;
Wikipedia
;
LCCN
:
n82001181","Chopin, Frédéric",Op.61,IFC 88,A-flat major,Allegro maestoso,1846,1846,,Mme. A. Veyret,,Romantic,Romantic,"https://imslp.org/wiki/Polonaise-fantaisie,_Op.61_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Polonaises,"ポロネーズ第2番
;
Polonezy op. 26
;
Polonaises, opus 26
;
Polonaises, Op. 26
;
2 Polacche op. 26
;
Poloneses op. 26
;
Πολωνέζες, Op. 26
;
폴로네즈 Op. 26","Polonaise in C-sharp minor, Op. 26 No. 1
;
Polonaise in E-flat minor, Op. 26 No. 2
;
Chopin, Frédéric, 1810-1849. Polonaises, piano, op. 26","WorldCat
;
Wikipedia
;
VIAF
:
316757324
;
LCCN
:
no2005043034","Chopin, Frédéric",Op.26,IFC 89,see below,"2 polonaises:
Allegro appassionato (C-sharp minor)
Maestoso (E-flat minor)",1835,"1836 – Paris: Schlesinger // Leipzig:
Breitkopf und Härtel",,Joseph Dessauer,,Romantic,Romantic,"https://imslp.org/wiki/Polonaises,_Op.26_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Polonaises,"ポロネーズ第4番
;
Polonezy op. 40
;
Polonaises, opus 40
;
Polonaises, Op. 40
;
Polonesa Op. 40
;
2 Polacche op. 40
;
Poloneses op. 40
;
Polonaise, Op. 40
;
Πολωνέζες, Op. 40
;
Два полонеза, соч. 40 (Шопен)","Polonez op. 40 nr 1
;
Polonez Wojskowy
;
Polonesa militar
;
Polonesa Op 40
;
Polonesa Militar Op. 40","WorldCat
;
Wikipedia
;
LCCN
:
no97078171","Chopin, Frédéric",Op.40,IFC 90,,"2 polonaises:
Allegro con brio (A major), 'Military'
Allegro maestoso (C minor)",1838 (No.1) 1839 (No.2),,,Julian Fontana,,Romantic,Romantic,"https://imslp.org/wiki/Polonaises,_Op.40_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Polonaises,"Polonaises, Op. posth. [71]
;
ポロネーズ作品71
;
Polonezy op. posth
;
3 Polacche op. 71
;
Poloneses op. 71
;
Πολωνέζες, Op. 71",,"WorldCat
;
Wikipedia
;
VIAF
:
176357058
;
LCCN
:
n2005070921","Chopin, Frédéric",Op.71,IFC 91,,"3 pieces:
Allegro maestoso (D minor)
Allegro ma non troppo (B-flat major)
Allegro moderato (F minor)","1827, 1828, 1829",,,,,Romantic,Romantic,"https://imslp.org/wiki/Polonaises,_Op.71_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Prelude in A-flat major,"Prelude [No. 26] ""Presto con leggierezza"" in A-flat major
;
Preludium op. posth.
;
Preludio in la bemolle maggiore","Preludio per Pierre Wolf
;
À Pierre Wolf
;
Prelude No. 26
;
Prelude in A-flat Major, Op.posth
;
Preludium nr 26
;
Presto con leggierezza","WorldCat
;
Wikipedia
;
LCCN
:
no96032262","Chopin, Frédéric",B.86 ; Op.P2 No.7,IFC 92,A-flat major,Presto con leggierezza,1834,1918,,Pierre Wolff,,Romantic,Romantic,"https://imslp.org/wiki/Prelude_in_A-flat_major,_B.86_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Prelude in C-sharp minor,"Prélude cis-Moll op. 45
;
Prelude [No. 25] in C-sharp minor, Op. 45
;
Preludium op. 45
;
Preludio op. 45",,"WorldCat
;
LCCN
:
no97074419","Chopin, Frédéric",Op.45,IFC 93,C-sharp minor,Sostenuto,1841,"1849 ca.
Schlesinger",,Princess E. Czernicheff,,Romantic,Romantic,"https://imslp.org/wiki/Prelude_in_C-sharp_minor,_Op.45_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Prelude in E-flat minor,,,,"Chopin, Frédéric",,IFC 124,E-flat minor,,,2001,,,,Romantic,Romantic,"https://imslp.org/wiki/Prelude_in_E-flat_minor_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Preludes,"24 Préludes op. 28
;
前奏曲
;
Preludia op. 28
;
24 Preludes op. 28
;
Preludios
;
Preludit
;
Chopins 24 Preludier
;
24 Preludi op. 28
;
24 Preludis op. 28
;
Preludia
;
24 preludier, opus 28","Préludes
;
Preludios Op 28
;
Preludios de chopin
;
Largo
;
Preludios Op. 28
;
Largo de Chopin
;
Chopin: Preludit
;
Preludes chopin
;
Preludi op. 28
;
Twenty-Four Preludes, Op. 28
;
24 preludier, op. 28
;
Chopins preludier
;
24 preludium, opus 28
;
24 preludium, op. 28
;
Chopins 24 Preludier (Opus 28)","WorldCat
;
VIAF
:
195806068
;
LCCN
:
n81085483
;
GND
:
300037678
;
SUDOC
:
027083853
;
BNF
:
14789603f","Chopin, Frédéric",Op.28 ; C.166-189,IFC 94,,"24 preludes:
1. Agitato (C major)
Instytut Fryderyka Chopina
;
All Music Guide
2. Lento (A minor)
Instytut Fryderyka Chopina
;
All Music Guide
3. Vivace (G major)
Instytut Fryderyka Chopina
;
All Music Guide
4. Largo (E minor)
Instytut Fryderyka Chopina
;
All Music Guide
5. Molto allegro (D major)
Instytut Fryderyka Chopina
;
All Music Guide
6. Lento assai (B minor)
Instytut Fryderyka Chopina
;
All Music Guide
7. Andantino (A major)
Instytut Fryderyka Chopina
;
All Music Guide
8. Molto agitato (F-sharp minor)
Instytut Fryderyka Chopina
;
All Music Guide
9. Largo (E major)
Instytut Fryderyka Chopina
;
All Music Guide
10. Molto allegro (C-sharp minor)
Instytut Fryderyka Chopina
;
All Music Guide
11. Vivace (B major)
Instytut Fryderyka Chopina
;
All Music Guide
12. Presto (G-sharp minor)
Instytut Fryderyka Chopina
;
All Music Guide
13. Lento (F-sharp major)
Instytut Fryderyka Chopina
;
All Music Guide
14. Allegro (E-flat minor)
Instytut Fryderyka Chopina
;
All Music Guide
15. Sostenuto (D-flat major), 'Raindrop'
Instytut Fryderyka Chopina
;
All Music Guide
16. Presto con fuoco (B-flat minor)
Instytut Fryderyka Chopina
;
All Music Guide
17. Allegretto (A-flat major)
Instytut Fryderyka Chopina
;
All Music Guide
18. Molto allegro (F minor)
Instytut Fryderyka Chopina
;
All Music Guide
19. Vivace (E-flat major)
Instytut Fryderyka Chopina
;
All Music Guide
20. Largo (C minor)
Instytut Fryderyka Chopina
;
All Music Guide
21. Cantabile (B-flat major)
Instytut Fryderyka Chopina
;
All Music Guide
22. Molto agitato (G minor)
Instytut Fryderyka Chopina
;
All Music Guide
23. Moderato (F major)
Instytut Fryderyka Chopina
;
All Music Guide
24. Allegro appassionato (D minor)
Instytut Fryderyka Chopina
;
All Music Guide",1838-39,1839,,"Camille Pleyel
(1788–1855), French edition
Joseph Christoph Kessler
(1800–1872), German edition",35 minutes,Romantic,Romantic,"https://imslp.org/wiki/Preludes,_Op.28_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Rêverie (Dumka) / There is no need,,,,"Chopin, Frédéric",B.132 ; XVII/19,IFC 95,A minor,Mgła mi do oczu zawiewa z łona,1840,"1951 or earlier
Librettist
Józef Bohdan Zaleski
(1802-1886)
Language
Polish",,,,Romantic,Romantic,"https://imslp.org/wiki/R%C3%AAverie,_B.132_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Rondo à la mazur,"Rondo à la mazur in F major, Op. 5
;
マズルカ風ロンド
;
Rondò a la Mazur op. 5
;
Rondó a la mazur
;
Rondo op. 5 (Chopin)","ロンド・ア・ラ・マズル
;
マズルカ風のロンド
;
ロンド・ア・ラ・マズール","WorldCat
;
Wikipedia
;
LCCN
:
n87800216","Chopin, Frédéric",Op.5 ; Paderewski XII/2 ; Turlo 193,IFC 96,F major,Vivace,1825 or 1826,1828 February – Warsaw: Brzezina,,Countess Alexandrine de Marioles,,Romantic,Romantic,"https://imslp.org/wiki/Rondo_%C3%A0_la_mazur,_Op.5_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Rondo in C major,"ロンド ハ長調 (ショパン)
;
Rondo in C major, Op. posth. 73
;
Rondò op. 73
;
Rondó en do major","ロンド ハ長調
;
Rondo in C Major, Op. 73
;
Rondo in C Major, Op. 73b","WorldCat
;
Wikipedia
;
LCCN
:
nr97042455","Chopin, Frédéric",Op.73,IFC 97,C major,Allegro maestoso,1828,,,8 minutes,,Romantic,Romantic,"https://imslp.org/wiki/Rondo_in_C_major,_Op.73_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Rondo in C minor,"Rondo op. 1
;
Rondo in C minor, op. 1
;
Rondò op. 1
;
ロンド ハ短調
;
Rondó en do menor",,"WorldCat
;
Wikipedia
;
LCCN
:
no95026174","Chopin, Frédéric",Op.1,IFC 98,C minor,Allegro,1825,"1825 - Warsaw:
A. Brzezina",,Luiza Linde,,Romantic,Romantic,"https://imslp.org/wiki/Rondo_in_C_minor,_Op.1_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Rondo in E-flat major,,,,"Chopin, Frédéric",Op.16,IFC 99,E-flat major,Andante - Allegro vivace,1833,,,Caroline Hartmann,10 minutes,Romantic,Romantic,"https://imslp.org/wiki/Rondo_in_E-flat_major,_Op.16_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Scherzo No.1,"Scherzo No. 1 in B Minor, Op. 20
;
スケルツォ第1番
;
Scherzo Nr. 1
;
Scherzo No. 1
;
Scherzo nr. 1
;
Scherzo n. 1 op. 20
;
Scherzo núm. 1
;
스케르초 1번
;
Scherzo no 1",,"WorldCat
;
Wikipedia
;
VIAF
:
176412786
;
LCCN
:
no97075729
;
BNF
:
148179594","Chopin, Frédéric",Op.20,IFC 100,B minor,Presto con fuoco,1833,"1835 – Paris:
Maurice Schlesinger
/ Leipzig:
Breitkopf und Härtel","Publication noted in the
Bibliographie de la France
(24th Year, No.8, 21 February 1835, p.128). — Schlesinger
Hofmeister's
Monatsbericht
(1835), p.38
— Breitkopf",Thomas Albrecht,,Romantic,Romantic,"https://imslp.org/wiki/Scherzo_No.1,_Op.20_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Scherzo No.2,"スケルツォ第2番
;
Scherzo no. 2 in B-flat minor, op. 31
;
Scherzo nr. 2
;
Scherzo No. 2
;
Scherzo n. 2 op. 31
;
Scherzo núm. 2
;
Scherzo Nr. 2
;
스케르초 2번
;
Scherzo n.º 2 (Chopin)
;
Scherzo no 2 de Chopin",,"WorldCat
;
Wikipedia
;
LCCN
:
no97073915","Chopin, Frédéric",Op.31 ; CT 199,IFC 101,B-flat minor (ends in D-flat),Presto,1837,1837,,Countess Adele Fürstensein,,Romantic,Romantic,"https://imslp.org/wiki/Scherzo_No.2,_Op.31_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Scherzo No.3,"スケルツォ第3番
;
Scherzo no. 3 in C-sharp minor, op. 39
;
Scherzo nr. 3 (Chopin)
;
Скерцо № 3
;
Scherzo n. 3 op. 39
;
Scherzo núm. 3
;
스케르초 3번",Scherzo nr. 3,"WorldCat
;
Wikipedia
;
LCCN
:
no97074420","Chopin, Frédéric",Op.39,IFC 102,C-sharp minor,Presto con fuoco,1839,"1840 – Leipzig:
Breitkopf und Härtel
{
Hofmeister's
Monatsbericht
(1840), p.148
)",,Adolf Gutmann,,Romantic,Romantic,"https://imslp.org/wiki/Scherzo_No.3,_Op.39_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Scherzo No.4,"スケルツォ第4番
;
Scherzo no. 4 in E major, op. 54
;
Scherzo nr. 4 (Chopin)
;
Scherzo n. 4 op. 54
;
Scherzo núm. 4
;
스케르초 4번
;
Scherzo no 4 de Chopin
;
Scherzo n.º 4 (Chopin)","Scherzo nr. 4
;
Chopin, Frédéric, 1810-1849. Scherzos, piano, B. 148, E major","WorldCat
;
Wikipedia
;
VIAF
:
175452603
;
LCCN
:
n89612263","Chopin, Frédéric",Op.54 ; ct 200,IFC 103,E major,Presto,1842,1843,,Mlle. J. de Caraman,,Romantic,Romantic,"https://imslp.org/wiki/Scherzo_No.4,_Op.54_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Tarantella,"タランテラ
;
Tarantelle in A-flat major, Op. 43
;
Tarantela
;
Tarantella op. 43
;
Tarantel·la
;
Tarantelo en A-bemolo-maĵoro",Tarantela de Chopin,"WorldCat
;
Wikipedia
;
LCCN
:
no99014551","Chopin, Frédéric",Op.43 ; CT 205,IFC 104,A-flat major,Presto,1841,1841,,,3 minutes,Romantic,Romantic,"https://imslp.org/wiki/Tarantella,_Op.43_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Le regret,,,,"Mayer, Charles",Op.332 (Op.A1 No.7),ICM 65,F-sharp minor,Allegro agitato,1861 or before (1838 in Chopin attribution),1861,,,3-4 minutes,Romantic,Romantic,"https://imslp.org/wiki/Valse_m%C3%A9lancolique_in_F-sharp_minor,_A1/7_(Chopin,_Fr%C3%A9d%C3%A9ric)"
