,Work Title,Composer,Opus/Catalogue Number,I-Catalogue Number,Key,Movements/Sections,Composer Time Period,Piece Style,Instrumentation,url,Alternative Title,Year/Date of Composition,Name Translations,Authorities,Average Duration,First Publication,Dedication,Name Aliases,Language,Copyright Information
08372,2 Impromptus à la Mazur,"Scriabin, Aleksandr",Op.7,IAS 15,,"2 movements:
G
♯
minor
F
♯
major",Romantic,Romantic,Piano,"https://imslp.org/wiki/2_Impromptus_%C3%A0_la_Mazur,_Op.7_(Scriabin,_Aleksandr)",Два экспромта в форме мазурки,1892,,,,".
1894",,,,
64016,6 Preludes,"Scriabin, Aleksandr",Op.13,IAS 58,,6,Romantic,Romantic,Piano,"https://imslp.org/wiki/6_Preludes,_Op.13_(Scriabin,_Aleksandr)",,1895,,,,".
1897",,,,
05829,Fugue,"Bach, Johann Sebastian",BWV 955 ; BWV 955a,IJB 199,B-flat major,1,Baroque,Baroque,Piano,"https://imslp.org/wiki/Fugue_in_B-flat_major,_BWV_955_(Bach,_Johann_Sebastian)",Fuge,,,,,".
1880",,,,
58130,Eleven New Bagatelles,"Beethoven, Ludwig van",Op.119,ILB 33,see below,"11 pieces:
Allegretto (G minor)
Andante con moto (C major)
à l'Allamende (D major)
Andante cantabile (A major)
Risoluto (C minor)
Andante - Allegretto (G major)
C major
Moderato cantabile (C major)
Vivace moderato (A minor)
Allegramente (A major)
Andante ma non troppo (B
♭
major)",Classical,Classical,Piano,"https://imslp.org/wiki/11_Bagatelles,_Op.119_(Beethoven,_Ludwig_van)",,1822,"Onze bagatelles
;
Bagatelles, Op. 119
;
Bagatelas, Op. 119
;
Elf Bagatellen für Klavier
;
Bagatel·les, Op. 119 (Beethoven)
;
바가텔, 작품 번호 119
;
音樂小品, 作品119
;
11の新しいバガテル","WorldCat
;
Wikipedia
;
VIAF
:
185418225
;
LCCN
:
nr94019271
;
BNF
:
148179501
;
NLA
:
35970694",,".
1823",,Onze bagatelles opus 119 de Beethoven,,
78924,Piano Sonata No.1,"Schumann, Robert",Op.11,IRS 111,F-sharp minor,"4 movements:
Introduzione: Un poco Adagio - Allegro vivace
Aria (A major)
Scherzo
: Allegrissimo - intermezzo: Lento
Finale
: Allegro, un poco maestoso",Romantic,Romantic,Piano,"https://imslp.org/wiki/Grand_Sonata_No.1,_Op.11_(Schumann,_Robert)",Pianoforte-Sonate,1832-35,"Соната для фортепиано № 1 (Шуман)
;
Sonate pour piano nº 1
;
ピアノソナタ第1番 (シューマン)
;
Piano Sonata No. 1
;
Pianosonaatti nro 1 (Schumann)
;
Klaviersonate fis-Moll op. 11
;
피아노 소나타 1번
;
Sonata para piano n.º 1","WorldCat
;
Wikipedia
;
VIAF
:
293353157
;
LCCN
:
nr92026374
;
BNF
:
13918909v",,".
1836 – Leipzig:
Kistner
Hofmeister's
Monatsbericht
(1836), p.54","Clara Schumann
(Wieck)
""Clara zugeignet von Florestan & Eusebius""","Соната для фортепиано № 1
;
Sonata para piano n.º 1 en fa sostenido menor, Op. 11
;
Piano Sonata No. 1 in F sharp minor, Op. 11",,
271048,3 Piano Sonatas for the Young,"Schumann, Robert",Op.118,IRS 114,,3 sonatas of 4 movements each,Romantic,Romantic,Piano,"https://imslp.org/wiki/3_Piano_Sonatas_for_the_Young_Op.118_(Schumann,_Robert)",,1853 June,,,,".
1853 – Hamburg:
Schuberth & Co.
(Plates 2001–2003)","3 Dedications:
1. Julien zur Erinnerung
2. Elisen zum Andenken
3. Marien gewidmet",,,
03118,10 Variations in F major,"Schubert, Franz",D.156,IFS 798,F major,"Theme, 10 variations",Romantic,Romantic,Piano,"https://imslp.org/wiki/10_Variations_in_F_major,_D.156_(Schubert,_Franz)","X Variations pour le Forte-Piano composes par Francois Schubert, Ecolier de Salieri, prémier Maitre de la Chapelle imperiale et royale de Vienne 1815",1815-02-15,,,,".
1887",,,,
67709,"Einsam bin ich, nicht allein","Liszt, Franz",S.453 ; LW.A152,IFL 86,,1 piece,Romantic,Romantic,Piano,"https://imslp.org/wiki/Einsam_bin_ich,_nicht_allein,_S.453_(Liszt,_Franz)",Volkslied aus dem Schauspiel Preziosa von Carl Maria von Weber,1848,,,,".
1848",,,,
08408,Fugue,"Scriabin, Aleksandr",,IAS 14,,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Fugue_(Scriabin,_Aleksandr)",Fuga,1892,,,,".
1947-53",,,,
03221,Prelude and Fugue,"Bach, Johann Sebastian",BWV 896 ; BC L 128,IJB 483,A major,"2 movements:
Præludium
Fuga",Baroque,Baroque,Piano,"https://imslp.org/wiki/Prelude_and_Fugue_in_A_major,_BWV_896_(Bach,_Johann_Sebastian)",Präludium und Fuge,1710?,,,,".
1912 (No.1)
1866 (No.2)",,,,
335613,Le rossignol,"Liszt, Franz","S.249d ; LW.A66/1 (1st version)
S.250/1 ; LW.A86/1 (2nd version)",IFL 337,,1 piece,Romantic,Romantic,Piano,"https://imslp.org/wiki/Le_rossignol,_S.250/1_(Liszt,_Franz)",Solovei ; The Nightingale (Air russe de A. Alabieff),"1842 (1st version)
1853 (2nd version)",,,,".
1842 (1st version)
1853 (2nd version)",,,,
100522,6 Polish Songs,"Liszt, Franz",S.480 ; LW.A193,IFL 300,,"6 arrangements
Mädchens Wunsch
(Zyczenie)
Frühling
(Wiosna)
Das Ringlein
(Pierócie î)
Bacchanal
(Hulanka)
Meine Freuden
(Moja pieszczotka / Mes joies)
Die Heimkehr
(Narzeczony)",Romantic,Romantic,Piano,"https://imslp.org/wiki/6_Polish_Songs,_S.480_(Liszt,_Franz)",6 Polnische Lieder / 6 Chants polonais / 6 ópiew ïw polskich,1857-60,,,,".
1860",Princess Marie zu Hohenlohe,,,
00355,Piano Sonata in A major,"Schubert, Franz",D.664 (published as Op.posth.120),IFS 586,A major,"3 movements:
Allegro moderato (A major)
Andante (D major)
Allegro (A major)",Romantic,Romantic,Piano,"https://imslp.org/wiki/Piano_Sonata_in_A_major,_D.664_(Schubert,_Franz)",Piano Sonata No.10; Piano Sonata No.13,1819 or 1825,"Sonate pour piano nº 13 de Schubert
;
Piano Sonata in A major, D. 664
;
ピアノソナタ第13番 (シューベルト)
;
Sonata per pianoforte n. 13
;
Sonata per a piano núm. 13 en la major, D 664
;
钢琴奏鸣曲奏鸣曲（A大调，D 664）
;
Sonata para piano núm. 13 (Schubert)","WorldCat
;
Wikipedia
;
LCCN
:
n83175857",24 minutes,".
1829 – J. Czerny",,"Sonate pour piano n° 13 (Schubert)
;
Sonate pour piano n° 13 de schubert
;
Sonate pour piano no 13 de Schubert
;
Sonate pour piano n° 13 de Schubert",,
03285,Fugue,"Bach, Johann Sebastian",BWV 952 ; BC L150,IJB 202,C major,1,Baroque,Baroque,Piano,"https://imslp.org/wiki/Fugue_in_C_major,_BWV_952_(Bach,_Johann_Sebastian)",,,,,,".
1843",,,,
475061,Keyboard Sonata,"Haydn, Joseph","Hob.XVI:38
; Op.30 No.4",IJH 278,"board Sonata
Alt
ernative
.
Title
Klaviersonate Nr.51
Name Translations
Piano Sonata Hob. XVI/38
;
ピアノソナタ第38番
Name Aliases
piano sonata
;
keyboard sonata
Authorities
Wikipedia
Composer
Haydn, Joseph
Opus/Catalogue Number
Op./Cat. No.
Hob.XVI:38
; Op.30 No.4
I-Catalogue Number
I-Cat. No.
IJH 278
Key
E-flat major","3 movements:
Allegro moderato (E
♭
major)
Adagio (C minor)
Finale
. Allegro (E
♭
major) - Trio (A
♭
major)",Classical,Classical,Piano,"https://imslp.org/wiki/Keyboard_Sonata_in_E-flat_major,_Hob.XVI:38_(Haydn,_Joseph)",Klaviersonate Nr.51,1780 or before,"Piano Sonata Hob. XVI/38
;
ピアノソナタ第38番",Wikipedia,,".
1780","Marianne Auenbrugger
(1759–1782)","piano sonata
;
keyboard sonata",,
51798,Piano Sonata No.26,"Beethoven, Ludwig van",Op.81a,ILB 187,E-flat major,"3 movements:
Das Lebewohl. Adagio - Allegro (E
♭
major)
Abwesenheit. Andante espressivo (C minor) (attacca)
Das Wiedersehen. Vivacissimamente (im Lebhastesten Zeitmasse) (E
♭
major)",Classical,Classical,Piano,"https://imslp.org/wiki/Piano_Sonata_No.26,_Op.81a_(Beethoven,_Ludwig_van)",Les Adieux/Das Lebewohl,1809–10,"Piano Sonata No. 26
;
Sonata per a piano núm. 26
;
Klaviersonate Nr. 26
;
Pianoarentzako 26. sonata
;
Pianosonaatti nro 26
;
Sonate pour piano nº 26 de Beethoven
;
Sonata per pianoforte n. 26
;
ピアノソナタ第26番
;
Pianosonate nr. 26
;
Sonata fortepianowa nr 26 Beethovena
;
Соната для фортепиано № 26
;
Соната для фортепіано № 26
;
第26钢琴奏鸣曲
;
Σονάτα για πιάνο No. 26
;
Sonata para piano n.º 26
;
피아노 소나타 26번","WorldCat
;
Wikipedia
;
VIAF
:
185088584
;
LCCN
:
n81055144
;
GND
:
300016832
;
BNF
:
139082567",17-18 minutes,".
1811","Erzherzog Rudolph
(1788–1831)","Piano Sonata No. 26 in E-flat Major, Op. 81a
;
Les Adieux
;
L'Addio, l'Assenza e il Ritorno
;
Les adieux
;
Pianosonate nr. 26 (Beethoven)",,
271046,6 Concert Etudes after Paganini Caprices Op.10,"Schumann, Robert",Op.10,IRS 20,see below,"6 studies:
Etude after Caprice No.14 in A
♭
major
Etude after Caprice No.6 in G minor
Etude after Caprice No.10 in G minor
Etude after Caprice No.4 in C minor
Etude after Caprice No.2 in B minor
Etude after Caprice No.3 in E minor",Romantic,Romantic,Piano,"https://imslp.org/wiki/6_Concert_Etudes_after_Paganini_Caprices,_Op.10_(Schumann,_Robert)",Originally: Capricen für das Pianoforte auf dem Grund der Violinstimme von Paganini zu Studien freie bearbeitet,1833,,,,".
1835",,,,
68733,Piano Sonata No.15,"Beethoven, Ludwig van",Op.28,ILB 176,D major,"4 movements:
Allegro (D major)
Andante (D minor)
Scherzo. Allegro vivace (D major) - Trio (B minor)
Rondo. Allegro ma non troppo (D major)",Classical,Classical,Piano,"https://imslp.org/wiki/Piano_Sonata_No.15,_Op.28_(Beethoven,_Ludwig_van)",Pastoral,1801,"Piano Sonata No. 15
;
Klaviersonate Nr. 15
;
Sonata para piano n.º 15
;
سونات ۱۵ پیانو
;
Pianosonaatti nro 15
;
Sonate pour piano nº 15 de Beethoven
;
Sonata per pianoforte n. 15
;
ピアノソナタ第15番
;
Pianosonate nr. 15
;
Sonata Pastoralna
;
Соната для фортепиано № 15
;
Соната для фортепіано № 15
;
Sonata per a piano núm. 15
;
Σονάτα για πιάνο No. 15
;
피아노 소나타 15번
;
第15號鋼琴奏鳴曲 (貝多芬)","WorldCat
;
Wikipedia
;
VIAF
:
185476851
;
LCCN
:
n82215300
;
GND
:
300016697
;
BNF
:
13908189x
;
NLA
:
35523338
;
BNE
:
XX2540568",23-24 minutes,".
1801",Joseph Edler von Sonnenfels,"Piano Sonata No. 15 in D Major, Op. 28
;
Pastorale
;
Pianosonate nr. 15 (Beethoven)
;
Sonata para piano n.º 15 en re mayor, Op. 28",,
114194,Polonaise in A-flat major,"Chopin, Frédéric",Op.53,IFC 81,A-flat major,Maestoso,Romantic,Romantic,Piano,"https://imslp.org/wiki/Polonaise_in_A-flat_major,_Op.53_(Chopin,_Fr%C3%A9d%C3%A9ric)",Héroique Polonaise,1842,"Polonesa, Op. 53
;
英雄ポロネーズ
;
Polonez op. 53
;
Polonaise, opus 53
;
Polonaise in A-flat major ""Heroic"", Op. 53
;
Polonesa Op. 53
;
Polonaise op. 53
;
Полонез ля-бемоль мажор
;
Polonaise As-Dur
;
Polonéza As-dur, op. 53
;
Polacca op. 53
;
Polonesa en la bemoll major
;
降A大調波蘭舞曲
;
Polonaise Op. 53
;
Полонез ля-бемоль мажор, «Героїчний»
;
Πολωνέζα σε Λα ύφεση μείζονα, έργο 53
;
폴로네즈 Op.53
;
پولونز در لا بمل ماژور","WorldCat
;
Wikipedia
;
VIAF
:
179019389
;
LCCN
:
n78080149
;
GND
:
300037643",,,"August Leo
(1793–1859)","ポロネーズ 作品53
;
Polonesa Op 53 Heroica
;
Polonaise Heroique
;
Polonesa Op 53
;
Polonesa Op. 53 Heroica
;
Polonesa heroica
;
Polonaise Heroïque
;
Polonaise héroïque
;
Ηρωική πολωνέζα
;
Ηρωική",,
68732,Piano Sonata No.14,"Beethoven, Ludwig van",Op.27 No.2,ILB 175,C-sharp minor,"3 movements:
Adagio sostenuto (C
♯
minor, 69 bars)
Allegretto - Trio (D
♭
major, 60 bars)
Presto agitato (C
♯
minor, 200 bars)",Classical,Classical,Piano,"https://imslp.org/wiki/Piano_Sonata_No.14,_Op.27_No.2_(Beethoven,_Ludwig_van)",Sonata quasi una fantasia ; Moonlight Sonata,1802,"Sonate pour piano nº 14 de Beethoven
;
Piano Sonata No. 14
;
মুনলাইট সোনাটা
;
Sonata per a piano núm. 14
;
Klaviersonate Nr. 14
;
Sonata para piano n.º 14
;
سونات مهتاب
;
Pianosonaatti nro 14
;
סונאטה לפסנתר מס' 14 של בטהובן
;
Լուսնի սոնատ
;
Píanósónata nr. 14
;
Sonata per pianoforte n. 14
;
ピアノソナタ第14番
;
피아노 소나타 14번
;
Pianosonate nr. 14
;
Sonata Księżycowa
;
Sonata pentru pian nr. 14
;
Соната для фортепиано № 14
;
Klavírna sonáta č. 14
;
Månskenssonaten
;
เปียโนโซนาตาหมายเลข 14
;
Соната для фортепіано № 14
;
Sonata Ánh trăng
;
第14钢琴奏鸣曲
;
Måneskinnssonaten
;
14. Piyano Sonatı
;
سوناتا بيانو رقم 14
;
Klavírní sonáta č. 14
;
Клавирска соната бр. 14
;
Σονάτα για πιάνο αρ. 14
;
14. klaversonate
;
Mėnesienos sonata
;
Pianoarentzako 14. Sonata (Beethoven)
;
سۆناتای ژمارە ١٤ بۆ پیانۆ
;
月光奏鳴曲
;
Sonata Rhif 14 i'r Piano","WorldCat
;
Wikipedia
;
VIAF
:
184686463
;
LCCN
:
n82028186
;
GND
:
300016670
;
SELIBR
:
300172
;
BNF
:
13908188k
;
NLA
:
35473249
;
BNE
:
XX2241997",15-16 minutes,".
1802",Gräfin Giulietta Guicciardi,"Sonate au clair de lune
;
Piano Sonata No. 14 in C-sharp Minor, Op. 27, No. 2
;
Moonlight Sonata
;
Mondschein-Sonate
;
Mondscheinsonate
;
Sonata quasi una fantasia
;
Sonaten, Kl, op. 27,2
;
Sonata Op. 27 n.º 2 (Beethoven)
;
Quasi una fantasia
;
Al chiaro di Luna (apocrifo)
;
Лунная соната (Бетховен)
;
Соната для фортепиано № 14 (Лунная)
;
Лунная соната
;
opus 27 no 2
;
Σονάτα του Σεληνόφωτος
;
Σονάτα για πιάνο αρ. 14 σε Ντο δίεση ελάσσονα, έργο 27, αρ. 2
;
Με τον τρόπο της φαντασίας
;
Σονάτα υπό το Σεληνόφως
;
Sonata quasi una fantasia op. 27 nr. 2 i cis-mol
;
Måneskinssonaten
;
Op. 27, nr. 2
;
سوناتا بيانو رقم ١٤ (بيتهوفن)
;
Claro de luna
;
Sonata para piano n.º 14 en do sostenido menor «Quasi una fantasia», Op. 27, n.º 2
;
Pianosonate nr. 14 (Beethoven)
;
月光ソナタ
;
ピアノソナタ第14番嬰ハ短調 作品27-2 『幻想曲風ソナタ』
;
ピアノソナタ「月光」
;
幻想曲風ソナタ
;
Lloergan",,
05052,Ave Maria d' Arcadelt,"Liszt, Franz",S.183/2 ; LW.A216/2 ; R.68/2,IFL 29,,1 piece,Romantic,Romantic,Piano,"https://imslp.org/wiki/Ave_Maria_d%27Arcadelt,_S.183/2_(Liszt,_Franz)",,1862,,,5 minutes,".
1865","Alexander Wilhelm Gottschalg
(1827–1908)",,,
00501,Waltzes,"Chopin, Frédéric",Op.70,IFC 121,,"3 pieces:
Molto vivace (G-flat major)
Tempo giusto (F minor)
Moderato (D-flat major)",Romantic,Romantic,Piano,"https://imslp.org/wiki/Waltzes,_Op.70_(Chopin,_Fr%C3%A9d%C3%A9ric)",,"1832 (No.1), 1842 (No.2), 1829 (No.3)","Waltzes, Op. Posth. 70
;
ワルツ第13番 (ショパン)
;
3 Valzer op. 70
;
Valsos op. 70
;
Walzer op. 70 (Chopin)
;
Три вальса, соч. 70 (Шопен)",Wikipedia,,".
1855",,,,
318757,Für Elise,"Beethoven, Ludwig van",WoO 59,ILB 73,A minor,,Classical,Classical,Piano,"https://imslp.org/wiki/F%C3%BCr_Elise,_WoO_59_(Beethoven,_Ludwig_van)",Bagatelle No.25 in A minor ; Für Therese,1810 (April 27),"La Lettre à Élise
;
فور اليسيه
;
Per a Elisa
;
Para Elisa
;
לאליזה
;
Per Elisa
;
エリーゼのために
;
ელიზესთვის
;
엘리제를 위하여
;
За Елиза
;
Dla Elizy
;
ایلس لئی
;
К Элизе
;
За Елизу
;
เฟือร์เอลีเซอ
;
До Елізи
;
致愛麗絲
;
Til Elise
;
Pro Elišku
;
من أجل إليزة
;
برای الیزه
;
ഫർ എലൈസ്
;
Pre Elišku
;
Fur Elise
;
Por Elise
;
致爱丽丝
;
Էլիզեին
;
Elizai
;
بۆ ئیلیزە
;
Dlo Elizy","WorldCat
;
Wikipedia
;
VIAF
:
186663871
;
LCCN
:
n81133634
;
BNF
:
147860559",3 minutes,".
1867 - in
Neue Briefe Beethovens
(ed. Ludwig Nohl, pp.28-33)",Therese Malfatti von Rohrenbach zu Dezza (supposed),"Bagatelle No. 25
;
Bagatelle in A Minor, WoO 59, ""Für Elise""
;
Για την Ελίζα
;
Μπαγκατέλα αρ. 25 σε Λα ελάσσονα, WoO 59
;
Για τη Λίζα
;
Για την Ελίζ
;
Bagatela No. 25
;
Lettre à Elise
;
من أجل إليزا
;
من أجل إليزأ
;
A小调巴加泰勒
;
献给爱丽丝
;
致特蕾莎
;
I Elise",,
00226,Piano Sonata No.16,"Mozart, Wolfgang Amadeus",K.545,IWM 416,C major,"3 movements:
I. Allegro
II. Andante
III. Rondo. Allegretto",Classical,Classical,Piano,"https://imslp.org/wiki/Piano_Sonata_No.16_in_C_major,_K.545_(Mozart,_Wolfgang_Amadeus)",Sonata facile ; Sonata semplice ; Kleine Sonate ; Sonata for Beginners,1788 June,"Klaviersonate Nr. 16
;
Piano Sonata No. 16
;
Sonata para piano n.º 16
;
Sonate pour piano nº 16 de Mozart
;
סונאטה לפסנתר מס' 16 של מוצרט
;
Sonata per pianoforte n. 16
;
ピアノソナタK.545
;
피아노 소나타 16번
;
Pianosonate nr. 16
;
Pianosonate i C-dur av Mozart
;
Pianosonat nr 16
;
เปียโนโซนาตาหมายเลข 16
;
Соната для фортепіано № 16
;
第16號鋼琴奏鳴曲
;
Sonata per a piano núm. 16
;
K545
;
Sonata số 16 dành cho dương cầm
;
Klaviersonate nr. 16 (Mozart)
;
Klaversonate nr. 16
;
Σονάτα για πιάνο No. 16
;
第16號鋼琴奏鳴曲 (莫札特)
;
Соната для клавира № 16 (Моцарт)","WorldCat
;
Wikipedia
;
VIAF
:
310642473
;
LCCN
:
n82009884
;
GND
:
300111363
;
BNF
:
147900850",,".
1805",,"莫札特第16號鋼琴奏鳴曲
;
Pianosonate nr. 16 (Mozart)
;
Piano Sonata in C Major, K. 545
;
Sonata facile
;
Sonata semplice",,
05857,Schubert's Impromptus [revised and edited by Franz Liszt],"Liszt, Franz","S.565b/1-2 (Schubert: Op.90 Nos.2-3)
editorial: (Schubert: Op.90 and Op.142)",IFL 350,,2 pieces [w/o. 6 editorial works],Romantic,Romantic,Piano,"https://imslp.org/wiki/Schubert%27s_Impromptus,_S.565b_(Liszt,_Franz)",,1868-69,,,,".
1870",,,,
03278,Fugue,"Bach, Johann Sebastian",BWV 946 ; BC L160,IJB 201,C major,1,Baroque,Baroque,Piano,"https://imslp.org/wiki/Fugue_in_C_major,_BWV_946_(Bach,_Johann_Sebastian)",Fuge,1708?,,,,".
1852",,,,
00776,Invention in A major,"Bach, Johann Sebastian",BWV 783 ; BC L 38,IJB 838,A major,1 invention,Baroque,Baroque,Piano,"https://imslp.org/wiki/Invention_in_A_major,_BWV_783_(Bach,_Johann_Sebastian)",Inventio 12,"1723 in
Inventions and Sinfonias",,,,".
1801 in
15 Inventions
(No.12)",,,,
51814,3 Piano Sonatas,"Beethoven, Ludwig van",WoO 47,ILB 194,see below,"3 sonatas:
Sonata in E-flat major
Allegro cantabile (E
♭
major)
Andante (B
♭
major)
Rondo vivace (E
♭
major)
Sonata in F minor
Larghetto maestoso - Allegro assai (F minor)
Andante (A
♭
major)
Presto (F minor)
Sonata in D major
Allegro (D major)
Minuet, 6 variations (A major)
Scherzando. Allegro, ma non troppo (D major)",Classical,Classical,Piano,"https://imslp.org/wiki/3_Piano_Sonatas,_WoO_47_(Beethoven,_Ludwig_van)",,1782-1783,,,,".
1783 Oct.,
Bossler
(Speyer)",Maximilien-Frédéric,,,
09878,2 Impromptus,"Scriabin, Aleksandr",Op.14,IAS 18,,"2 movements:
Allegretto (B major)
Andante cantabile (F
♯
minor)",Romantic,Romantic,Piano,"https://imslp.org/wiki/2_Impromptus,_Op.14_(Scriabin,_Aleksandr)",2 экспромта,1895,,,,".
1897",,,,
27164,Ungarische Melodie,"Schubert, Franz",D.817,IFS 792,B minor,Allegretto,Romantic,Romantic,Piano,"https://imslp.org/wiki/Ungarische_Melodie,_D.817_(Schubert,_Franz)",Hungarian Melody,1824-09-02,,,,".
1928",,,,
68891,"4 Preludes, Op.39","Scriabin, Aleksandr",Op.39,IAS 68,,4,Romantic,Early 20th century,Piano,"https://imslp.org/wiki/4_Preludes,_Op.39_(Scriabin,_Aleksandr)",,1903,,,,,,,,
04676,Schlaflos! Frage und Antwort,"Liszt, Franz",S.203 ; LW.A322,IFL 348,,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Schlaflos!_Frage_und_Antwort,_S.203_(Liszt,_Franz)",Nocturne nach einem Gedicht van Toni Raab,1883,,,2-3.5 minutes,".
1927",,,,
03139,"German Dances, D.971","Schubert, Franz",D.971,IFS 273,,3 dances,Romantic,Romantic,Piano,"https://imslp.org/wiki/3_German_Dances,_D.971_(Schubert,_Franz)",,,,,,,,,,
516478,12 Lieder von Franz Schubert,"Liszt, Franz",S.558 ; LW.A42,IFL 226,,"12 pieces
Sei mir gegrüsst, S.558/1
Arrangement of
Sei mir gegrüsst, D.741
Auf dem Wasser zu singen, S.558/2
Arrangement of
Auf dem Wasser zu singen, D.774
Du bist die Ruh, S.558/3
Arrangement of
Du bist die Ruh, D.776
Erlkönig, S.558/4
Arrangement of
Erlkönig, D.328
Meeresstille, S.558/5
Arrangement of
Meeres Stille, D.216
Die junge Nonne, S.558/6
Arrangement of
Die junge Nonne, D.828
Frühlingsglaube, S.558/7
Arrangement of
Frühlingsglaube, D.686
Gretchen am Spinnrade, S.558/8
Arrangement of
Gretchen am Spinnrade, D.118
Ständchen von Shakespeare, S.558/9
Arrangement of
Ständchen, D.889
Rastlose Liebe, S.558/10
Arrangement of
Rastlose Liebe, D.138
Der Wanderer, S.558/11
Arrangement of
Der Wanderer, D.489
Ellens dritter Gesang (Ave Maria), S.558/12
Arrangement of
Ave Maria, D.839",Romantic,Romantic,Piano,"https://imslp.org/wiki/12_Lieder_von_Franz_Schubert,_S.558_(Liszt,_Franz)",,1837-38; revised 1876,,,,".
1838",Countess d'Aragon,,,
06295,Tyrolean Melody,"Liszt, Franz",S.385a [formerly S.233c] ; LW.A12b,IFL 384,G major,1 piece,Romantic,Romantic,Piano,"https://imslp.org/wiki/Tyrolean_Melody,_S.385a_(Liszt,_Franz)",,1829,,,,".
1856",,,,
00463,Nocturnes,"Chopin, Frédéric",Op.27,IFC 67,,"2 pieces:
Larghetto (C
♯
minor)
Lento sostenuto (D
♭
major)",Romantic,Romantic,Piano,"https://imslp.org/wiki/Nocturnes,_Op.27_(Chopin,_Fr%C3%A9d%C3%A9ric)",,1836,"녹턴, Op. 27
;
Nocturnes Op. 27
;
Nocturnes, Op. 27
;
2 Notturni op. 27
;
夜曲Op. 27 (蕭邦)
;
Nocturns op. 27
;
Nokturny op. 27
;
المقطوعة الحالمة Op.27
;
Νυχτερινά, Op. 27
;
Nocturne, Op. 27 (Chopin)
;
Nocturnos, op. 27","WorldCat
;
Wikipedia
;
LCCN
:
no2001061987",,".
1837",Countess d'Appony,"المقطوعة الحالمة Op.٢٧ (شوبان)
;
2 Nocturnes, Op. 27
;
Two Nocturnes, Op. 27",,
109679,Keyboard Sonata,"Haydn, Joseph","Hob.XVI:22
; Op.13 No.2",IJH 273,"board Sonata
Alt
ernative
.
Title
Klaviersonate Nr.37
Composer
Haydn, Joseph
Opus/Catalogue Number
Op./Cat. No.
Hob.XVI:22
; Op.13 No.2
I-Catalogue Number
I-Cat. No.
IJH 273
Key
E major","3 movements:
Allegro moderato (E major)
Andante (E minor)
Finale
. Tempo di Minuet (E major)",Classical,Classical,Piano,"https://imslp.org/wiki/Keyboard_Sonata_in_E_major,_Hob.XVI:22_(Haydn,_Joseph)",Klaviersonate Nr.37,1773,,,,".
1774 – Vienna : Presso Giuseppe Kurzböck",Nikolaus Esterházy,,,
06997,"10 Variations on 'La stessa, la stessissima' from the Opera 'Falstaff' by Salieri WoO 73","Beethoven, Ludwig van",WoO 73,ILB 305,B-flat major,"theme, 10 variations, coda:
Theme. Andante con moto (B
♭
major)
Variation 1 (B
♭
major)
Variation 2 (B
♭
major)
Variation 3 (B
♭
major)
Variation 4 (B
♭
major)
Variation 5 (B
♭
minor)
Variation 6 (B
♭
major)
Variation 7 (B
♭
major)
Variation 8 (B
♭
major)
Variation 9 (B
♭
major)
Variation 10. Allegretto, alla Austriaca (B
♭
major)
Coda. Tempo I (B
♭
major)",Classical,Classical,Piano,"https://imslp.org/wiki/10_Variations_on_%27La_stessa,_la_stessissima%27,_WoO_73_(Beethoven,_Ludwig_van)",,1799,,,,".
1799",Countess von Keglevics,,,
05011,Romance,"Liszt, Franz",S.169 ; LW.A148,IFL 332,E minor,1 romance,Romantic,Romantic,Piano,"https://imslp.org/wiki/Romance,_S.169_(Liszt,_Franz)","Romance ""O pourquoi donc""",1848,,,,".
1908",Mme Josephine Kościelska,,,
14932,Paraphrase de concert sur 'Rigoletto',"Liszt, Franz",S.434 ; LW.A187 ; R.267,IFL 287,,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Paraphrase_de_concert_sur_Rigoletto,_S.434_(Liszt,_Franz)",,"1855–59?
First Perf
ormance
.
1862 or earlier",,,,".
1860 – Hamburg/Leipzig:
Schuberth & Co.",,,,
03183,Piano Sonata No.22,"Beethoven, Ludwig van",Op.54,ILB 183,F major,"2 movements:
In tempo d'un menuetto (F major)
Allegretto - Più allegro (F major)",Classical,Classical,Piano,"https://imslp.org/wiki/Piano_Sonata_No.22,_Op.54_(Beethoven,_Ludwig_van)",,1804,"Piano Sonata No. 22
;
Klaviersonate Nr. 22
;
Pianoarentzako 22. sonata
;
Sonate pour piano nº 22 de Beethoven
;
Sonata per pianoforte n. 22
;
ピアノソナタ第22番
;
Pianosonate nr. 22
;
Sonata fortepianowa nr 22 Beethovena
;
Соната для фортепиано № 22
;
Соната для фортепіано № 22
;
Sonata per a piano núm. 22
;
Σονάτα για πιάνο αρ. 22
;
피아노 소나타 22번
;
第22號鋼琴奏鳴曲 (貝多芬)
;
Sonata para piano n.° 22 (Beethoven)
;
סונאטה לפסנתר מספר 22","Wikipedia
;
GND
:
300016794
;
BNF
:
139082207",8-14 minutes (depending on repeats taken),".
1806",,"Piano Sonata No. 22 in F Major, Op. 54
;
Pianosonate nr. 22 (Beethoven)
;
סונטה לפסנתר 22",,
