,Work Title,Composer,Opus/Catalogue Number,I-Catalogue Number,Key,Movements/Sections,Composer Time Period,Piece Style,Instrumentation,url,Alternative Title,First Publication,Name Translations,Name Aliases,Authorities,Year/Date of Composition,Dedication,Average Duration,Copyright Information,Language,Librettist
06876,3 Morceaux poétiques,"Moszkowski, Moritz",Op.42,IMM 45,,"3 pieces
Romance (F major)
Siciliano (A major)
Momento giojoso (E
♭
major)",Romantic,Romantic,Piano,"https://imslp.org/wiki/3_Morceaux_po%C3%A9tiques,_Op.42_(Moszkowski,_Moritz)","3 Piano Pieces
Trois morceaux poétiques",".
1887 – Leipzig:
C.F. Peters",,,,,,,,,
53759,"German Dances, D.972","Schubert, Franz",D.972,IFS 274,,"3 dances
D
♭
major
A
♭
major
A major",Romantic,Romantic,Piano,"https://imslp.org/wiki/3_German_Dances,_D.972_(Schubert,_Franz)",,,,,,,,,,,
432444,Ode à l'amour,"Berens, Hermann",Op.33,IHB 21,E-flat major,1 (Andante con moto),Romantic,Romantic,Piano,"https://imslp.org/wiki/Ode_%C3%A0_l%27amour,_Op.33_(Berens,_Hermann)",Ode to love. 3rd nocturne,".
1853",,,,,À sa Mathilde,5 minutes,,,
259597,Souvenir de Bolentina,"Wolff, Édouard",Op.315,IEW 33,,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Souvenir_de_Bolentina,_Op.315_(Wolff,_%C3%89douard)",Valse brillante,".
1873? – Paris:
Félix Mackar",,,,,à mon élève et ami Emmanuel Balliano,,,,
04677,Wiegenlied,"Liszt, Franz",S.198 ; LW.A303,IFL 430,,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Wiegenlied,_S.198_(Liszt,_Franz)",Chant du berceau,".
1958 - Curwen, edited by Jack Werner",,,,1881,"Arthur Friedheim
(1859–1932)",,,,
103283,"Nuits Blanches, Op.82","Heller, Stephen",Op.82,ISH 69,,"18 pieces
La Naïade
Furiosa
Serena
Zéphyr
Le Désir
Seriosa
L'Aveu
Impatience
Message
La Capricieuse
Résignation
Mélancolie
Consolation
La Douleur
Jeu des ondes
Résolution
Euphrosine
L'Adieu",Romantic,Romantic,Piano,"https://imslp.org/wiki/Nuits_blanches,_Op.82_(Heller,_Stephen)","Blumen, Frucht, und Dornenstücke",,,,,,,,,,
02227,Prelude and Fugue No.22 in B-flat minor,"Bach, Johann Sebastian",BWV 867 ; BC L 101,IJB 499,B-flat minor,"2 movements:
Præludium
Fuga",Baroque,Baroque,Piano,"https://imslp.org/wiki/Prelude_and_Fugue_in_B-flat_minor,_BWV_867_(Bach,_Johann_Sebastian)",Præludium et Fuga a 5 voci,".
1801","Präludium und Fuge b-Moll BWV 867
;
Prélude et fugue en si bémol mineur (BWV 867)
;
Прелюдия и фуга си-бемоль минор, BWV 867",,"Wikipedia
;
GND
:
300190166","1722 in
Das wohltemperierte Klavier I, BWV 846-869
(No.22)",,,,,
03345,Sea Pieces,"MacDowell, Edward",Op.55,IEM 43,,"8 pieces:
To the Sea
From a Wandering Iceberg
A. D. MDCXX
Starlight
Song
From the Depths
Nautilus
In Mid-Ocean",Romantic,Romantic,Piano,"https://imslp.org/wiki/Sea_Pieces,_Op.55_(MacDowell,_Edward)",,".
1898 – New York: P.L. Jung",,,,1898,,,,,
179145,2 Stücke,"MacDowell, Edward",Op.18,IEM 51,,"2 pieces:
Barcarolle
Humoreske",Romantic,Romantic,Piano,"https://imslp.org/wiki/2_St%C3%BCcke,_Op.18_(MacDowell,_Edward)",2 Pieces,".
1884 (Breslau:
Julius Hainauer
)",,,,,,,,,
112348,Trois nouvelles études,"Chopin, Frédéric",B.130,IFC 73,,"3 studies:
Andantino (F minor)
Allegretto (A
♭
major)
Allegretto (D
♭
major)",Romantic,Romantic,Piano,"https://imslp.org/wiki/3_Nouvelles_%C3%A9tudes,_B.130_(Chopin,_Fr%C3%A9d%C3%A9ric)",,".
1839","Trois Nouvelles Études
;
3 Nuovi Studi","Tre nuovi Studi
;
Trois nouvelles etudes
;
Τρεις νέες σπουδές","WorldCat
;
Wikipedia
;
LCCN
:
n79027476",,,,,,
08277,Stille Lieder und Tänze,"Kirchner, Theodor",Op.72,ITK 58,,16,Romantic,Romantic,Piano,"https://imslp.org/wiki/Stille_Lieder_und_T%C3%A4nze,_Op.72_(Kirchner,_Theodor)",,".
1884 – Dresden:
Hoffarth",,,,,,,,,
400441,6 Variations on a Swiss song,"Beethoven, Ludwig van",WoO 64,ILB 316,F major,"theme, 6 variations, coda:
Theme. Andante con moto (F major)
Variation 1 (F major)
Variation 2 (F major)
Variation 3 (F minor)
Variation 4 (F major)
Variation 5 (F major)
Variation 6 (F major)
Coda (F major)",Classical,Classical,Piano,"https://imslp.org/wiki/6_Variations_on_a_Swiss_song,_WoO_64_(Beethoven,_Ludwig_van)",6 Piano Variations on the Swiss Song “Es hätt e' Buur e' Töchterli”,".
1798","Variationen über ein Schweizer Lied
;
Six variations on a Swiss song for piano or harp",Sechs Variationen über ein Schweizer Lied,,1790,,,,,
07387,"2 Ballads, Op.85","Scharwenka, Xaver",Op.85,IXS 4,,2,Romantic,Romantic,Piano,"https://imslp.org/wiki/2_Ballads,_Op.85_(Scharwenka,_Xaver)",2 Balladen,".
1912",,,,1912,,,,,
03195,Prelude and Fughetta,"Bach, Johann Sebastian",BWV 900 ; BC L 77,IJB 477,E minor,"2 movements:
Præludium
Fughetta (Fugue)",Baroque,Baroque,Piano,"https://imslp.org/wiki/Prelude_and_Fughetta_in_E_minor,_BWV_900_(Bach,_Johann_Sebastian)",Präludium und Fughetta,".
1843",,,,1725–26?,,,,,
69985,2 Morceaux de salon,"Raff, Joachim",Op.81,IJR 66,,"2 Movements
Sicilienne. Air favori de l'opera Les Vêpres Siciliennes de Verdi
Tarantelle de l'opera Les Vêpres Siciliennes de Verdi",Romantic,Romantic,Piano,"https://imslp.org/wiki/2_Morceaux_de_salon,_Op.81_(Raff,_Joachim)",,".
1861 – Leipzig:
C.F. Peters",,,,1858,Catherine de Priklonsky,,,,
324996,March and Rondo on Paganini's 'Clochette',"Herz, Henri",Op.63,IHH 50,A major,2,Romantic,Romantic,Piano,"https://imslp.org/wiki/March_and_Rondo_on_Paganini%27s_%27Clochette%27,_Op.63_(Herz,_Henri)",Marche et rondo pour le piano forte sur La clochette de Paganini,".
1831 – Paris:
Troupenas",,,,,Mathilde Perier,,,,
07394,"Huldigungs-Marsch, Op.55","Scharwenka, Xaver",Op.55,IXS 13,,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Huldigungs-March,_Op.55_(Scharwenka,_Xaver)",,".
ca. 1880",,,,ca. 1880,,,,,
105657,Kleine Blumen,"Gurlitt, Cornelius",Op.205,ICG 20,,"12 pieces without titles, but since an Augener edition of 1936 the following names of flowers were used:
1. Wild Mignonette, Réséda, Resede
2. Bellflower, Campanule, Glockenblume
3. Lady's Smock, Cardamine, Wiesenschaumkraut
4. Ragged Robin, Fleur de Coucou, Kuckucksblume
5. Cinquefoil, Potentille, Fingerkraut
6. Heather, Bruyère, Heidekraut
7. Fritillary
8. Rock Rose
9. Pimpernel
10. Cranesbill
11. Sea Pink, Rose de la mer, Grasnelke
12. Dandelion",Romantic,Romantic,Piano,"https://imslp.org/wiki/Kleine_Blumen,_Op.205_(Gurlitt,_Cornelius)","12 easy, melodious pieces",,,,,,,,,,
110873,Nocturne No.3,"Godard, Benjamin",Op.139,IBG 70,D-flat major,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Nocturne_No.3,_Op.139_(Godard,_Benjamin)",,".
1892",,,,,,6 minutes,,,
288782,Piano Sonata,"Kalkbrenner, Friedrich Wilhelm",Op.13,IFK 52,G minor,"4 movements
I. Allegro di molto
II. Adagio non troppo
III.
Tempo di minuetto
. Allegro di molto
IV.
Rondo
. Allegro vivace",Romantic,Romantic,Piano,"https://imslp.org/wiki/Piano_Sonata,_Op.13_(Kalkbrenner,_Friedrich_Wilhelm)",,".
1813 by Naderman, Paris (plate 1572)",,,,,,,"Publication noted in the
Bibliographie de la France
1e série, 2e année, Nº 39, p.419, r.366, 24 September 1813.",,
283489,Deux nocturnes,"Henselt, Adolf von",Op.6,IAH 26,,"2 nocturnes:
Schmerz im Glück
A la fontaine de Potsdam",Romantic,Romantic,Piano,"https://imslp.org/wiki/2_Nocturnes,_Op.6_(Henselt,_Adolf_von)",,,,,,,,,,,
06853,2 Piano Pieces,"Moszkowski, Moritz",Op.27,IMM 70,,"2 Pieces:
Barcarolle (G major)
Tarantelle (G
♭
major)",Romantic,Romantic,Piano,"https://imslp.org/wiki/2_Piano_Pieces,_Op.27_(Moszkowski,_Moritz)",Barcarole und Tarantelle für Pianoforte,".
1881 – Breslau:
Julius Hainauer",,,,,,,,,
451841,Magnificat Fugue,"Pachelbel, Johann",P.261 ; T.105,IJP 113,D Dorian mode (D minor),1 fugue,Baroque,Baroque,Piano,"https://imslp.org/wiki/Magnificat_Fugue,_P.261_(Pachelbel,_Johann)","Magnificat primi toni, Magnificat-fugue, mode I (no.5)",".
1901 in
Compositionen zumeist Fugen über das Magnificat
(No.5)",,,,,,,,,
00765,Sinfonia in D major,"Bach, Johann Sebastian",BWV 789 ; BC L 44,IJB 856,D major,1 sinfonia,Baroque,Baroque,Piano,"https://imslp.org/wiki/Sinfonia_in_D_major,_BWV_789_(Bach,_Johann_Sebastian)",Sinfonia 3,".
1801 in
15 Sinfonias, BWV 787-801
(No.3)",,,,"1723 in
Inventions and Sinfonias",,,,,
367663,Fanfare militaire,"Ascher, Joseph",Op.40,IJA 16,,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Fanfare_militaire,_Op.40_(Ascher,_Joseph)",en forme de marche,".
1855 – Mainz: Schott",,,,,"à Mademoiselle
Rosa Kastner
(1835–1880)",,,,
96720,Mazurka in F-sharp major,"Mayer, Charles",,ICM 98,F-sharp major,Moderato ben marcato,Romantic,Romantic,Piano,"https://imslp.org/wiki/Mazurka_in_F-sharp_major_(Chopin,_Fr%C3%A9d%C3%A9ric)",,,,,,,,,,,
182064,Idyllen,"Jensen, Adolf",Op.43,IAJ 18,,"8 movements:
Morgendämmerung
Feld-Wald- u. Liebesgötter
Waldvöglein
Dryade
Mittagsstille
Abendnähe
Nacht (Hypnos - Thanatos)
Dionysosfeier",Romantic,Romantic,Piano,"https://imslp.org/wiki/Idyllen,_Op.43_(Jensen,_Adolf)",8 Stücke für Klavier,".
1873 – Breslau:
Julius Hainauer",,,,1871-72,,,,,
02919,"Nocturne-Fantasie en Mi majeur pour Piano, Op. 20","Blumenfeld, Felix",Op. 20,IFB 28,E major,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Nocturne-Fantasie_for_Piano,_Op.20_(Blumenfeld,_Felix)",,".
1895",,,,,A Madame la Baronne Wrangel née Princesse Galitzin,10 minutes,,,
321487,Novelette,"Chaminade, Cécile",Op.110,ICC 125,,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Novelette,_Op.110_(Chaminade,_C%C3%A9cile)",,".
1903",,,,,"à Monsieur
Ricardo Castro",,,,
17909,Nuit de Noël,"Busoni, Ferruccio",BV 251,IFB 37,,1,Romantic,Early 20th century,Piano,"https://imslp.org/wiki/Nuit_de_No%C3%ABl,_BV_251_(Busoni,_Ferruccio)","Christmas Night
Esquisse",".
1909",,,,1908,"Frida Kindler (
1879–1964
; Busoni's pupil,
sister
of
Hans Kindler
, and wife of
Bernard van Dieren
)",4 minutes,,,
483761,Magnificat primi toni,"Buxtehude, Dietrich",BuxWV 204,IDB 109,A Phrygian mode,1,Baroque,Baroque,Piano,"https://imslp.org/wiki/Magnificat_primi_toni,_BuxWV_204_(Buxtehude,_Dietrich)",,".
1855",,,,,,,,,
105471,Gradus ad Parnassum,"Clementi, Muzio",Op.44,IMC 8,,100 exercises,Classical,Classical,Piano,"https://imslp.org/wiki/Gradus_ad_Parnassum,_Op.44_(Clementi,_Muzio)","l'art de jouer le piano-forte, démontré par des exercices dans le style sévere et dans le style élegant",".
1817, 1819 and 1826 (in 3 books)",,,,,Sophia Wolkonsky,,,,
219288,5 Klavierstücke,"Sinding, Christian",Op.113,ICS 33,,"5 pieces
1. Alla burla
2. Canzonetta
3. Humoreske
4. Melodie
5. Scherzino",Romantic,Romantic,Piano,"https://imslp.org/wiki/5_Klavierst%C3%BCcke,_Op.113_(Sinding,_Christian)",5 Piano Pieces,".
1912",,,,1912,,,,,
218524,First Modern Suite,"MacDowell, Edward",Op.10,IEM 12,E minor,"6 movements:
Praeludium
Presto
Andantino and Allegro
Intermezzo
Rhapsodie
Fuge",Romantic,Romantic,Piano,"https://imslp.org/wiki/First_Modern_Suite,_Op.10_(MacDowell,_Edward)",Erste moderne Suite,".
1883 – Leipzig:
Breitkopf und Härtel
(see below)",,,,1883,"Frau Joachim Raff (Doris (Genast) Raff, 1826-1912)",,,,
54279,3 Fantasiestücke,"Schumann, Robert",Op.111,IRS 34,see below,"3 pieces:
in C minor
in A
♭
major
in C minor",Romantic,Romantic,Piano,"https://imslp.org/wiki/3_Fantasiest%C3%BCcke_Op.111_(Schumann,_Robert)",,".
1863 (Flaxland) or earlier","幻想小曲集作品111 (シューマン)
;
Trois Fantasiestücke opus 111 de Schumann
;
Drei Fantasiestücke
;
Drei Fantasiestücke, Op. 111","Tres piezas de fantasía, Op. 111
;
Drei Phantasiestücke, Op. 111","WorldCat
;
Wikipedia
;
VIAF
:
183103834",,,,,,
98265,Les charmes de Londres,"Moscheles, Ignaz",Op.74,IIM 9,A major,2,Romantic,Romantic,Piano,"https://imslp.org/wiki/Les_charmes_de_Londres,_Op.74_(Moscheles,_Ignaz)",Rondeau brillant précédé d'une Introduction for Piano,,,,,,Miss Cockerell,,,,
453150,O Mensch bewein dein Sünde groß,"Pachelbel, Johann",P.396 ; T.61,IJP 214,F major,1 chorale prelude,Baroque,Baroque,Piano,"https://imslp.org/wiki/O_Mensch_bewein_dein_S%C3%BCnde_gross,_P.396_(Pachelbel,_Johann)",,".
1903 or before",,,,,,,,,
378052,Printemps d'amour,"Gottschalk, Louis Moreau",Op.40,ILG 83,A-flat major,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Printemps_d%27Amour,_Op.40_(Gottschalk,_Louis_Moreau)",Caprice de Concert,,,,,ca.1855,Isidore van Montenacken,,,,
12785,Theme with Variations,"Tchaikovsky, Pyotr",TH 121,IPT 135,A minor,"Theme and 9 variations:
Tema
. Andante semplice (16 bars)
Variation 1
. Andante (22 bars)
Variation 2
. Un poco più mosso (22 bars)
Variation 3
. Allegro scherzando (31 bars)
Variation 4
. Allegro con fuoco (42 bars)
Variation 5
. Allegro moderato (26 bars)
Variation 6
. Andantino (56 bars)
Variation 7
. Presto (93 bars)
Variation 8
. Adagio (36 bars)
Variation 9
. Allegro (38 bars)",Romantic,Romantic,Piano,"https://imslp.org/wiki/Theme_with_Variations_in_A_minor_(Tchaikovsky,_Pyotr)","Тема с вариациями (
Tema s variatsiyami
)",".
1909 — Moscow:
P. Jurgenson
. 24 pages. Plate 30945.",,,,1863-64,,14 minutes,,,
08140,Phantasien am Clavier,"Kirchner, Theodor",Op.36,ITK 36,,"2 books.
Book I.
Ein Lied, in E
♭
major. Moderato, cantabile
Burleske, in C minor. Poco vivace.
Notturno, in A
♭
major. Cantabile
Book II.
Erzählung, in A
♭
major. Lebhaft, doch nicht zu schnell.
Trauer, in C minor. Etwas langsam, ausdrucksvoll.
Walzer, in A
♭
major. Poco moderato.",Romantic,Romantic,Piano,"https://imslp.org/wiki/Phantasien,_Op.36_(Kirchner,_Theodor)",,".
1878",,,,,Paolo (??unclear surname??),,,,
109657,Lieder ohne Worte,"Mendelssohn, Felix",Op.53,IFM 78,,"6 songs:
Andante con moto, MWV
U 143
(A-flat major, 64 bars)
Allegro non troppo, MWV
U 109
(E-flat major, 77 bars)
Presto agitato, MWV
U 144
(G minor, 125 bars)
Adagio, MWV
U 114
(F major, 30 bars)
Volkslied
, Allegro con fuoco, MWV
U 153
(A minor, 83 bars)
Molto Allegro vivace, MWV
U 154
(A major, 126 bars)",Romantic,Romantic,Piano,"https://imslp.org/wiki/Lieder_ohne_Worte,_Op.53_(Mendelssohn,_Felix)",Songs Without Words,".
1841 - Bonn:
Simrock
// London:
J.J. Ewer & Co.
// Paris:
H. Lemoine",,,,1835-41,Sophie Horsley,14-17 minutes,,,
432428,Allegro appassionato,"Berens, Hermann",Op.67,IHB 2,G minor,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Allegro_appassionato,_Op.67_(Berens,_Hermann)",,".
1862 or earlier",,,,,A son ami Rudolph Schachner,5-10 minutes,,,
07946,12 Virtuoso Etudes,"MacDowell, Edward",Op.46,IEM 57,,"12 pieces
Novellette
Moto perpetuo
Wilde jagd
Improvisation
Elfentanz
Valse triste
Burleske
Bluette
Träumerei
Märzwind
Impromptu
Polonaise",Romantic,Romantic,Piano,"https://imslp.org/wiki/12_Virtuoso_Etudes,_Op.46_(MacDowell,_Edward)",Zwölf Virtuosen-Etüden,".
1894 – Leipzig:
Breitkopf und Härtel",,,,1894,,,,,
398902,Les Parisiennes,"Cramer, Johann Baptist",Op.92/M.3.13,IJC 23,,12 etudes,Classical,Classical,Piano,"https://imslp.org/wiki/Les_Parisiennes_(Cramer,_Johann_Baptist)",Douze Études Caracteristiques,".
London: Cramer, Addison & Beale, Stationers Hall (British copyright office) 4 Jan 1841",,,,,"First edition to
Prince Consort Albert
; Richault edition à Mr.
Georges Onslow",,,,
06416,Mazurka brillante,"Liszt, Franz",S.221 ; LW.A168,IFL 247,,1 piece,Romantic,Romantic,Piano,"https://imslp.org/wiki/Mazurka_brillante,_S.221_(Liszt,_Franz)",,".
1850",,,,1850,Adam Kozuchowski,,,,
13431,5 Special Studies after Chopin,"Reger, Max",,IMR 198,,5 studies,Romantic,Romantic,Piano,"https://imslp.org/wiki/5_Special_Studies_after_Chopin_(Reger,_Max)",,,,,,,"Alfred Grünfeld
(#1);
Franz Mannstädt
(#2);
Heinrich Ordenstein
(#3); Herrn
Stephan Krehl
(#4);
Heinrich Schwartz
(5)",,,,
69927,Introduction and Allegro scherzoso,"Raff, Joachim",Op.87,IJR 55,,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Introduction_et_Allegro_scherzoso,_Op.87_(Raff,_Joachim)",,".
1862 – Leipzig:
J. Rieter-Biedermann",,,,1858,Monsieur C. Le Dantu,,,,
51743,Piano Sonata No.19,"Beethoven, Ludwig van",Op.49 No.1,ILB 180,G minor,"2 movements:
Andante (G minor)
Rondo. Allegro (G major)",Classical,Classical,Piano,"https://imslp.org/wiki/Piano_Sonata_No.19,_Op.49_No.1_(Beethoven,_Ludwig_van)",Leichte Sonaten,".
1805","Piano Sonata No. 19
;
Sonate pour piano nº 19 de Beethoven
;
Piano Sonatas No. 19 and 20
;
ピアノソナタ第19番
;
Соната для фортепиано № 19
;
Sonata per pianoforte n. 19
;
Соната для фортепіано № 19
;
Sonata per a piano núm. 19 (Beethoven)
;
Σονάτα για πιάνο No. 19
;
피아노 소나타 19번
;
Sonata para piano n.º 19
;
第19號鋼琴奏鳴曲 (貝多芬)","Piano Sonata No. 19 in G Minor, Op. 49, No. 1","Wikipedia
;
BNF
:
148185149",1797,,,,,
366387,Traunseebilder,"Reinhold, Hugo",Op.55,IHR 53,,"5 pieces
Morgengruss
Abenddämmerung
Echo
Barcarole
Irrlicht",Romantic,Romantic,Piano,"https://imslp.org/wiki/Traunseebilder,_Op.55_(Reinhold,_Hugo)",5 Tonstücke,".
1897",,,,,,,,,
465982,"Thème varié, Op.62","Schütt, Eduard",Op.62,IES 69,G major,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Th%C3%A8me_vari%C3%A9,_Op.62_(Sch%C3%BCtt,_Eduard)",Theme and Variations,".
1901 – Berlin:
N. Simrock",,,,,,,,,
09064,Piano Sonata,"Kalkbrenner, Friedrich Wilhelm",Op.40,IFK 55,A-flat major,"3 movements:
Sonata. Allegro Moderato (A
♭
major)
Andante Espressivo (E
♭
major)
Rondo. Affettuoso (A
♭
major)",Romantic,Romantic,Piano,"https://imslp.org/wiki/Piano_Sonata,_Op.40_(Kalkbrenner,_Friedrich_Wilhelm)",Piano Forte Sonata for the Left Hand (obligato),".
1824",,,,,"Dedicated to his friend Fred. Wm. Collard (
Frederick William Collard
, 1772–1860)",,,,
328459,Carlotta-polka,"Ketterer, Eugène",Op.222,IEK 11,,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Carlotta-polka,_Op.222_(Ketterer,_Eug%C3%A8ne)",,".
1868ca. – Paris:
E. et A. Girod
/ Mainz:
Schott",,,,,Hommage à Mademoiselle Antoinette du Ligondés,,,,
07722,Pasquinade,"Gottschalk, Louis Moreau",Op.59,ILG 76,D-flat major,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Pasquinade,_Op.59_(Gottschalk,_Louis_Moreau)",Pasquinade - Caprice,".
1870",,,,1869 ca.,Renée Oliver,,,,
07188,Two Pieces,"Blumenfeld, Felix",Op.22,IFB 33,,"2 pieces:
Mazurka. Vivo, ma non troppo (A
♭
major.
= 63)
Valse brillante. Allegro (B major.
= 72-76)",Romantic,Romantic,Piano,"https://imslp.org/wiki/2_Pieces,_Op.22_(Blumenfeld,_Felix)",Deux morceaux pour piano,".
1896 –
M.P. Belaieff
Hofmeister's
Monatsbericht
(1896), p.374",,,,,"Madame Sophie Rabcewicz-Poznanska (
Zofia Rabcewicz
, 1870–1947)",,,,
67710,Leyer und Schwerdt,"Liszt, Franz",S.452 ; LW.A151,IFL 222,,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Leyer_und_Schwerdt,_S.452_(Liszt,_Franz)",Heroide nach Carl Maria von Weber,".
1848",,,,1848,Princess Augusta of Prussia,,,,
04352,Fantasia in C major,"Bach, Johann Sebastian",BWV 570 ; BC J 49,IJB 151,C major,1 fantasia,Baroque,Baroque,Piano,"https://imslp.org/wiki/Fantasia_in_C_major,_BWV_570_(Bach,_Johann_Sebastian)",Fantasia in C,".
1852 or earlier",,,,1705–08?,,,,,
54223,Keyboard Sonata in G major,"Bach, Carl Philipp Emanuel",H.119 ; Wq.62/19,ICB 137,"board Sonata in G major
Alt
ernative
.
Title
Composer
Bach, Carl Philipp Emanuel
Opus/Catalogue Number
Op./Cat. No.
H.119 ; Wq.62/19
I-Catalogue Number
I-Cat. No.
ICB 137
Key
G major",,Classical,Classical,Piano,"https://imslp.org/wiki/Keyboard_Sonata_in_G_major,_H.119_(Bach,_Carl_Philipp_Emanuel)",,".
1762",,,,1757,,,,,
05394,Historische ungarische Bildnisse,"Liszt, Franz","S.205 ; LW.A335 (1st version)
S.205a ; LW.A335 (2nd version)",IFL 159,,"7 pieces
Stephan Széchenyi / Széchenyi István
(= S.205/1, S.205a/1)
Joseph Eötvös / Eötvös József
(= S.205/2, S.205a/4)
Michael Vörösmarty / Vörösmarty Mihály
(= S.205/3, S.205a/5)
Ladislaus Teleki / Teleki László
(= S.205/4, S.205a/3)
Franz Deák / Deák Ferenc
(= S.205/5, S.205a/5)
Alexander Petõfi / Petõfi Sándor
(= S.205/6, S.205a/6)
Originally composed in 1877 as
Dem Andenken Petöfis
, S.195
Michael Mosonyi / Mosonyi Mihály
(= S.205/7, S.205a/7)
Originally composed in 1870 as
Mosonyis Grabgeleit
, S.194",Romantic,Romantic,Piano,"https://imslp.org/wiki/Historische_ungarische_Bildnisse,_S.205_(Liszt,_Franz)","Magyar arcképek / Historical Hungarian Portraits
Ungarische Oden",".
1956 (1st version)",,,,1885,"1/1. Count István Széchenyi (1791–1860)
2/4. Baron József Eötvös (1813–1871)
3/5. Mihály Vörösmarty (1800–1855)
4/3. Count László Teleki (1811–1861)
5/5. Mihály Vörösmarty (1800–1855)
6/6. Sándor Petõfi (1823–1849)
7/7. Mihály Mosonyi (1815–1870)",,,,
365298,Portefeuille de musique (1e),"Kullak, Theodor",Op.20,ITK 33,,"5 pieces
1. La Coquette. Piece caractéristique
2. A Minuit. Nocturne
3. Gavotte
4. A Naples. Suite de 4 pièces italiennes
5. Trois chansonettes",Romantic,Romantic,Piano,"https://imslp.org/wiki/Portefeuille_de_musique_No.1,_Op.20_(Kullak,_Theodor)",Morceaux de Salon,".
1844 or earlier",,,,,,,,,
12303,Nocturne No.2,"Balakirev, Mily",,IMB 24,B minor,1 (Andante espressivo),Romantic,Romantic,Piano,"https://imslp.org/wiki/Nocturne_No.2_(Balakirev,_Mily)",,,,,,1901,Mlle. Marie Stassow,,,,
124828,La favorita,"Gottschalk, Louis Moreau",Op.68,ILG 36,,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/La_Favorita,_Op.68_(Gottschalk,_Louis_Moreau)",,,,,,ca.1859,,,,,
268213,La Soirée dansante,"Ruthardt, Adolf",Op.20,IAR 27,,"4 pieces
Polonaise
Mazurka
Polka
Valse",Romantic,Romantic,Piano,"https://imslp.org/wiki/La_Soir%C3%A9e_dansante,_Op.20_(Ruthardt,_Adolf)",4 Morceaux de salon,".
1883 – Leipzig:
E.W. Fritzsch",,,,,,,,,
408001,Alla polacca,"Bach, Carl Philipp Emanuel",H.217 ; Wq.116/6,ICB 2,D major,,Classical,Classical,Piano,"https://imslp.org/wiki/Alla_polacca_in_D_major,_H.217_(Bach,_Carl_Philipp_Emanuel)",,".
1770 in
Musikalisches Vielerley
(No.27)",,,,,,,,,
125647,4 Solo-Stücke,"Kullak, Theodor",Op.104,ITK 40,,"4 pieces:
Nocturne
Abendwind (
Etüde
)
Präludium und Lied
Frühlingsnacht (
Fantasie-Stück
)",Romantic,Romantic,Piano,"https://imslp.org/wiki/4_Solo-St%C3%BCcke,_Op.104_(Kullak,_Theodor)",Vier Solo-Stücke,".
1860 – Leipzig:
Fr. Kistner
Hofmeister's
Monatsbericht
(1860), p.27",,,,,"see below
Madame Clara Burckhaus
Herrn Professor
Louis Plaidy
(1810–1874) in Leipzig
Herrn
Julius Knorr
(1807–1861) in Leipzig
Madame
Sophie Pflughaupt
[geborene Čepin] (1837–1867), wife of
Robert Pflughaupt",,,,
32687,Rêves de bonheur,"Rebikov, Vladimir",,IVR 49,,"5 pieces:
Andante sostenuto
Andante sostenuto
Moderato
Lento
Andante",Romantic,Romantic,Piano,"https://imslp.org/wiki/R%C3%AAves_de_bonheur_(Rebikov,_Vladimir)",Cinq morceaux,,,,,,,,,,
04459,Liebesträume,"Liszt, Franz",S.541 ; LW.A103,IFL 223,,"3 nocturnes:
1. Hohe Liebe
2. Seliger Tod
3. Oh Lieb, so lang du lieben kannst",Romantic,Romantic,Piano,"https://imslp.org/wiki/Liebestr%C3%A4ume,_S.541_(Liszt,_Franz)",Drei Notturnos,".
1850","愛の夢
;
Szerelmi álmok
;
Sogno d'amore
;
愛之夢
;
爱之梦
;
חלומות אהבה","Sueno de amor nº3
;
Liebestraum nº1
;
Liebestraum nº2
;
Sueño de amor n. 3
;
Liebestraum nº3
;
Liebestraum n 2
;
Liebestraum n 1
;
Sueños de amor
;
Liebestraum Nr. 3
;
Liebestraum n 3
;
Sueno de amor n º 3
;
Sueño de amor n 3
;
Sueño de amor n º 3
;
Sueno de amor n 3
;
Sueño de amor nº3
;
Liebesträume, S. 541
;
Liebestraum
;
3つの夜想曲
;
サール番号541","WorldCat
;
Wikipedia
;
VIAF
:
178870506
;
LCCN
:
n81056514
;
GND
:
300094027
;
BNF
:
14792648x",1850,,,,,
451497,Vater unser im Himmelreich,"Pachelbel, Johann",P.475 ; T.62,IJP 273,D Dorian mode (D minor),1 chorale prelude,Baroque,Baroque,Piano,"https://imslp.org/wiki/Vater_unser_im_Himmelreich,_P.475_(Pachelbel,_Johann)",,".
1903 or before",,,,,,,,,
